Confusion Matrix,,,,
,Pred_Urban,Pred_Bare Land,Pred_Water,Pred_Vegetation
,,,,
True_Urban,157422,323,0,14
,,,,
True_Bare Land,15012,38,3,0
,,,,
True_Water,306435,180921,366176,0
,,,,
True_Vegetation,1797633,71143,17988,12
,,,,
,,,,
Classification Report,,,,
,precision,recall,f1-score,support
,,,,
Urban,0.069150829,0.99786383,0.129338637,157759
,,,,
Bare Land,0.00015054,0.002524414,0.000284136,15053
,,,,
Water,0.953168804,0.42901262,0.591704445,853532
,,,,
Vegetation,0.461538462,6.36E-06,1.27E-05,1886776
,,,,
accuracy,0.179755039,0.179755039,0.179755039,0.179755039
,,,,
macro avg,0.371002159,0.357351806,0.180334984,2913120
,,,,
weighted avg,0.581950349,0.179755039,0.180380928,2913120
